"Company Name","Primary Contact","Phone Number","Customer Address","Credit Limit","15% Incentive","New Credit Limit"
"Atelier graphique","Carine  Schmitt",40.32.2555,NULL,"$21,000.00","$3,150.00","$24,150.00"
"Signal Gift Stores","Jean King",7025551838,"8489 Strong St., Las Vegas, NV 83030","$71,800.00","$10,770.00","$82,570.00"
"Australian Collectors, Co.","Peter Ferguson","03 9520 4555","636 St Kilda Road, Melbourne, Victoria 3004","$117,300.00","$17,595.00","$134,895.00"
"La Rochelle Gifts","Janine  Labrune",40.67.8555,NULL,"$118,200.00","$17,730.00","$135,930.00"
"Baane Mini Imports","Jonas  Bergulfsen","07-98 9555",NULL,"$81,700.00","$12,255.00","$93,955.00"
"Mini Gifts Distributors Ltd.","Susan Nelson",4155551450,"5677 Strong St., San Rafael, CA 97562","$210,500.00","$31,575.00","$242,075.00"
"Havel & Zbyszek Co","Zbyszek  Piestrzeniewicz","(26) 642-7555",NULL,$0.00,$0.00,$0.00
"Blauer See Auto, Co.","Roland Keitel","+49 69 66 90 2555",NULL,"$59,700.00","$8,955.00","$68,655.00"
"Mini Wheels Co.","Julie Murphy",6505555787,"5557 North Pendale Street, San Francisco, CA 94217","$64,600.00","$9,690.00","$74,290.00"
"Land of Toys Inc.","Kwai Lee",2125557818,"897 Long Airport Avenue, NYC, NY 10022","$114,900.00","$17,235.00","$132,135.00"
"Euro+ Shopping Channel","Diego  Freyre","(91) 555 94 44",NULL,"$227,600.00","$34,140.00","$261,740.00"
"Volvo Model Replicas, Co","Christina  Berglund","0921-12 3555",NULL,"$53,100.00","$7,965.00","$61,065.00"
"Danish Wholesale Imports","Jytte  Petersen","31 12 3555",NULL,"$83,400.00","$12,510.00","$95,910.00"
"Saveley & Henriot, Co.","Mary  Saveley",78.32.5555,NULL,"$123,900.00","$18,585.00","$142,485.00"
"Dragon Souveniers, Ltd.","Eric Natividad","+65 221 7555",NULL,"$103,800.00","$15,570.00","$119,370.00"
"Muscle Machine Inc","Jeff Young",2125557413,"4092 Furth Circle, NYC, NY 10022","$138,500.00","$20,775.00","$159,275.00"
"Diecast Classics Inc.","Kelvin Leong",2155551555,"7586 Pompton St., Allentown, PA 70267","$100,600.00","$15,090.00","$115,690.00"
"Technics Stores Inc.","Juri Hashimoto",6505556809,"9408 Furth Circle, Burlingame, CA 94217","$84,600.00","$12,690.00","$97,290.00"
"Handji Gifts& Co","Wendy Victorino","+65 224 1555",NULL,"$97,900.00","$14,685.00","$112,585.00"
"Herkku Gifts","Veysel Oeztan","+47 2267 3215",NULL,"$96,800.00","$14,520.00","$111,320.00"
"American Souvenirs Inc","Keith Franco",2035557845,"149 Spinnaker Dr., New Haven, CT 97823",$0.00,$0.00,$0.00
"Porto Imports Co.","Isabel  de Castro","(1) 356-5555",NULL,$0.00,$0.00,$0.00
